번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
215,5800,21226,6,1,4.89,5.11,4.57,5.25,4.67,3.33,-3.06,4.67,4.5,1.2,2.2,3.33,5.4,4.4,4.38,4.5,5.67,4.8,4.99,1,1,2,1,1.25,5.75,1.2,5.78,2.57
383,8638,14146,5,1,4.56,3.78,4.43,4.5,3.5,2,-5.86,4.5,3.25,3,2.6,4.78,4.6,4.6,4.66,4.67,4.17,3.6,4.14,2,2.6,3.2,2.2,2.5,4.25,2.8,4.23,3.71
655,13514,27659,6,1,5.11,5,5.71,5.25,1.33,1.33,-12.68,5.67,1.25,2,1.2,4.89,5,5,4.96,4.67,5,5,4.89,2,2,1.6,1.8,1.85,5,2.2,4.9,2.43
747,15771,32032,6,1,3.67,3.89,3.29,4.75,2.83,3.33,-1.82,3.17,2,2,4.2,3.11,4.8,3.2,3.7,3.5,2.5,2.6,2.87,2.8,3.8,2.4,2.4,2.85,4.75,3.2,4.28,1.86
748,15772,32031,6,1,3.56,4,3.14,4.25,3.33,3.33,-0.54,3.17,3,3.6,3,2.56,3.8,3.6,3.32,4.17,3.5,5,4.22,2.2,2,3.2,2,2.35,2.5,2.8,3.35,2.86
746,15767,32024,5,1,3.56,3.56,3.86,4.25,3.17,2.33,-4.13,4,3,3,3.4,3.22,4,3.6,3.61,4.17,3.83,4,4,3.6,4,2.6,3.4,3.4,4.75,2.2,4.78,3.43
341,8083,22959,6,1,5.22,5.56,6,5.5,1,1,-14.5,6,1,1,2,6,5.6,5,5.53,5.83,5,5,5.28,1.8,1,1,1,1.2,5.25,1,5.63,1.71
379,8601,23284,5,1,4,3.56,3.57,4.25,1.17,1,-8.23,3.5,1,1,2.4,2.44,3.2,3.6,3.08,4.33,3.17,3.2,3.57,2.2,4.4,2.4,2.4,2.85,4,3.4,3.8,2.71
426,9548,23588,6,1,4.56,4.44,4.57,4.5,3.33,1.67,-6.98,4.5,2.5,1.6,3.2,3,4,3.8,3.6,4.33,3.33,4.2,3.96,1.4,2.8,1.8,2,2,4.75,2.2,4.78,3.14
743,15739,31999,4,1,4.33,3.33,2.29,4.25,1.33,1,-5.49,2.33,1,3.4,2.6,2.44,4,3,3.15,2.67,2.67,2.4,2.58,3.4,3.2,2.6,3.2,3.1,3.75,2.4,4.18,2.86
